topic_id,post_number,post_id,date,topic_title,category,reply_to_user,word_count,post_url,fetched_at
163964,14,2977237,2020-09-12,"2001 Côte de Nuits, which producers really killed it?",WINE TALK,,27,https://www.wineberserkers.com/t/2001-cote-de-nuits-which-producers-really-killed-it/163964/14,2026-05-07T05:31:48+00:00
163967,14,2977697,2020-09-13,Pernand Vergelesses,WINE TALK,,373,https://www.wineberserkers.com/t/pernand-vergelesses/163967/14,2026-05-07T05:31:48+00:00
163967,19,2978857,2020-09-15,Pernand Vergelesses,WINE TALK,,63,https://www.wineberserkers.com/t/pernand-vergelesses/163967/19,2026-05-07T05:31:48+00:00
163967,30,2979748,2020-09-16,Pernand Vergelesses,WINE TALK,,161,https://www.wineberserkers.com/t/pernand-vergelesses/163967/30,2026-05-07T05:31:48+00:00
163899,37,2980543,2020-09-17,2018 Red Burgs - time to crack a few!,WINE TALK,,2,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/37,2026-05-07T05:31:47+00:00
163899,39,2980631,2020-09-17,2018 Red Burgs - time to crack a few!,WINE TALK,,35,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/39,2026-05-07T05:31:47+00:00
163899,43,2980672,2020-09-17,2018 Red Burgs - time to crack a few!,WINE TALK,,40,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/43,2026-05-07T05:31:47+00:00
163946,67,2981138,2020-09-17,At What Price Point Will You Boycott The 2008 Taittinger Comtes?,WINE TALK,,31,https://www.wineberserkers.com/t/at-what-price-point-will-you-boycott-the-2008-taittinger-comtes/163946/67,2026-05-07T05:31:48+00:00
163899,49,2982209,2020-09-19,2018 Red Burgs - time to crack a few!,WINE TALK,,39,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/49,2026-05-07T05:31:47+00:00
160745,49,2983093,2020-09-20,How good is the 2008 vintage in BURGUNDY,WINE TALK,,200,https://www.wineberserkers.com/t/how-good-is-the-2008-vintage-in-burgundy/160745/49,2026-05-07T05:31:48+00:00
160745,51,2983228,2020-09-20,How good is the 2008 vintage in BURGUNDY,WINE TALK,,39,https://www.wineberserkers.com/t/how-good-is-the-2008-vintage-in-burgundy/160745/51,2026-05-07T05:31:48+00:00
164170,3,2983666,2020-09-21,1972 Pierre Engel - Alexis Lichine Clos Vougeot,WINE TALK,,23,https://www.wineberserkers.com/t/1972-pierre-engel-alexis-lichine-clos-vougeot/164170/3,2026-05-07T05:31:48+00:00
163899,57,2985210,2020-09-23,2018 Red Burgs - time to crack a few!,WINE TALK,,23,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/57,2026-05-07T05:31:47+00:00
163974,15,2985230,2020-09-23,"Post your favorite wine ""autocorrects""",WINE TALK,,28,https://www.wineberserkers.com/t/post-your-favorite-wine-autocorrects/163974/15,2026-05-07T05:31:48+00:00
164206,4,2985209,2020-09-23,Anyone tried any of these recently?,WINE TALK,,6,https://www.wineberserkers.com/t/anyone-tried-any-of-these-recently/164206/4,2026-05-07T05:31:48+00:00
61008,154,2986040,2020-09-24,Discussion of 2001 Red Burgs,WINE TALK,,16,https://www.wineberserkers.com/t/discussion-of-2001-red-burgs/61008/154,2026-05-07T05:31:48+00:00
164261,7,2986868,2020-09-25,1975 The Robert Mondavi Reserve sleeper,WINE TALK,,38,https://www.wineberserkers.com/t/1975-the-robert-mondavi-reserve-sleeper/164261/7,2026-05-07T05:31:48+00:00
164261,13,2987753,2020-09-26,1975 The Robert Mondavi Reserve sleeper,WINE TALK,,159,https://www.wineberserkers.com/t/1975-the-robert-mondavi-reserve-sleeper/164261/13,2026-05-07T05:31:48+00:00
164315,36,2988920,2020-09-28,Dream 5 Wine Allocations!,WINE TALK,,14,https://www.wineberserkers.com/t/dream-5-wine-allocations/164315/36,2026-05-07T05:31:48+00:00
164354,9,2989178,2020-09-28,"Alcohol content of finished wine, whole cluster vs de-stemmed",WINE TALK,,16,https://www.wineberserkers.com/t/alcohol-content-of-finished-wine-whole-cluster-vs-de-stemmed/164354/9,2026-05-07T05:31:48+00:00
164401,3,2991133,2020-09-30,Clerc Milon ? ...,WINE TALK,,51,https://www.wineberserkers.com/t/clerc-milon/164401/3,2026-05-07T05:31:48+00:00
164401,6,2991170,2020-09-30,Clerc Milon ? ...,WINE TALK,,14,https://www.wineberserkers.com/t/clerc-milon/164401/6,2026-05-07T05:31:48+00:00
164465,16,2993551,2020-10-03,is Nuits les SAINT GEORGES worthy of grand cru status?,WINE TALK,,74,https://www.wineberserkers.com/t/is-nuits-les-saint-georges-worthy-of-grand-cru-status/164465/16,2026-05-07T05:31:47+00:00
164475,8,2993463,2020-10-03,Chassagne Montrachet Rouge,WINE TALK,,13,https://www.wineberserkers.com/t/chassagne-montrachet-rouge/164475/8,2026-05-07T05:31:31+00:00
164475,11,2993547,2020-10-03,Chassagne Montrachet Rouge,WINE TALK,,120,https://www.wineberserkers.com/t/chassagne-montrachet-rouge/164475/11,2026-05-07T05:31:31+00:00
164475,16,2993910,2020-10-03,Chassagne Montrachet Rouge,WINE TALK,,31,https://www.wineberserkers.com/t/chassagne-montrachet-rouge/164475/16,2026-05-07T05:31:31+00:00
164475,17,2993912,2020-10-03,Chassagne Montrachet Rouge,WINE TALK,,28,https://www.wineberserkers.com/t/chassagne-montrachet-rouge/164475/17,2026-05-07T05:31:31+00:00
163899,64,2994219,2020-10-04,2018 Red Burgs - time to crack a few!,WINE TALK,,70,https://www.wineberserkers.com/t/2018-red-burgs-time-to-crack-a-few/163899/64,2026-05-07T05:31:47+00:00
