producer	wine	vintage	country	region	subregion	price
Dr Wehrheim	Weissburgunder Mandelberg GG	2022	Germany	Pfalz		$57.99
Dr Wehrheim	Weissburgunder Mandelberg GG	2022	Germany	Pfalz		$56.99
Dr Wehrheim	Chardonnay Roisenberg	2021	Germany	Pfalz		$39.99
Dr Wehrheim	Chardonnay Roisenberg	2023	Germany	Pfalz		$37.99
Dr Wehrheim	Weissburgunder Birkweiler Rosenberg El	2023	Germany	Pfalz		$36.99
Dr. Wehreim	Riesling Kastaninbusch GG	2022	Germany	Pfalz		$58.99
Dr. Wehrheim	Weissburgunder Mandelberg Grosses Gewachs	2023	Germany	Pfalz		$71.99
Dr. Wehrheim	Riesling Kastanienbusch GG	2023	Germany	Pfalz		$69.99
Dr. Wehrheim	Riesling Kastanienbusch GG	2022	Germany	Pfalz		$59.99
Dr. Wehrheim	Dr. Wehrheim Riesling Kastanienbusch GG	2022	Germany	Pfalz		$58.99
Dr. Wehrheim	Riesling Kastanienbusch GG	2022	Germany	Pfalz		$57.99
Dubreuil-Fontaine	Corton Bressandes	2021	France	Burgundy	Aloxe-Corton	$87.99
Dubreuil-Fontaine	Corton Clos du Roi	2021	France	Burgundy	Aloxe-Corton	$89.99
E. Guigal	E. Guigal Côte-Rôtie La Turque (3-pack)	2021	France	Rhône
E. Guigal	E. Guigal Côte-Rôtie La Mouline (3-pack)	2021	France	Rhône
E. Guigal	E. Guigal Côte-Rôtie La Landonne (3-pack)	2021	France	Rhône
E. Guigal	Cote Rotie La Mouline	2021	France	Rhône	Côte-Rôtie
E. Guigal	Cote Rotie La Turque	2021	France	Rhône	Côte-Rôtie
E. Guigal	Cote Rotie La Landonne	2021	France	Rhône	Côte-Rôtie
Elie Bancel	Cornas	2023	France	Rhône	Cornas	$94.99
Emmanuel Darnaud	St. Joseph Dardouille	2021	France	Rhône	Saint-Joseph	$53.99
Emmanuel Darnaud	Crozes-Hermitage "Au Fil du Temps"	2021	France	Rhône	Hermitage	$41.99
Emmanuel Verset	Cornas Signature Verset	2022	France	Rhône	Cornas	$82.99
Emmanuel Verset	Cornas	2020	France	Rhône	Cornas	$59.99
Enderle & Moll	Weißburgunder / Pinot Blanc Sphere	2021	Germany	Baden		$42.99
Enderle & Moll	Weißburgunder / Pinot Blanc Sphere	2021	Germany	Baden		$40.99
Enderle & Moll	Grauburgunder / Pinot Gris Skins	2021	Germany	Baden		$40.99
Enderle & Moll	Muller Thurgau Pur	2021	Germany	Baden		$20.99
Enderle & Moll	Muller Thurgau Muller	2022	Germany	Baden		$19.99
Enderle & Moll	Bundsandstein	2022	Germany	Germany		$51.99
Enderle & Moll	Muschelkalk	2022	Germany	Germany		$51.99
Enderle & Moll	Muschelkalk	2022	Germany	Baden		$51.99
Enderle & Moll	Bundsandstein	2022	Germany	Baden		$51.99
Enderle & Moll	Bundsandstein	2022	Germany	Baden		$49.99
Enderle & Moll	Muschelkalk	2022	Germany	Baden		$49.99
Enderle & Moll	Weißburgunder / Pinot Blanc Sphere	2021	Germany	Baden		$42.99
Enderle & Moll	Grauburgunder / Pinot Gris Skins	2021	Germany	Baden		$40.99
Enderle & Moll	Weißburgunder / Pinot Blanc Sphere	2021	Germany	Baden		$40.99
Enderle & Moll	Grauburgunder / Pinot Gris Skins	2021	Germany	Baden		$39.99
Enderle & Moll	Grauburgunder (4867)	2021	Germany	Baden		$22.99
Enderle & Moll	Muller Thurgau Pur	2021	Germany	Baden		$20.99
Enderle & Moll	Muller Thurgau Muller	2022	Germany	Baden		$19.99
Etienne Calsac	Extra-Brut Blanc de Blancs Echappelle Belle	NV	France	Champagne		$47.99
Familie Jouffreau	Cahors "Clos des Gamot Vignes Centenaires"	2022	France	Southwest France		$48.99
