producer	wine	price	country	region	appellation	color	variety
E. Guigal	2021 Cote Rotie La Mouline	1109.97	France	Rhône
E. Guigal	2021 Cote Rotie La Turque	1109.97	France	Rhône
Elie Bancel	2023 Cornas	94.99	France	Rhône	Cornas
Gerard Courbis Pere & Fils	2023 Cornas	69.99	France	Rhône	Cornas
Guillaume Gilles	2023 Cornas Nouvelle R	69.99	France	Rhône	Cornas
Guillaume Gilles	2023 Cotes du Rhone "Les Peyrouses"	55.99	France	Rhône
Gunther Steinmetz	2024 Rose Reserve	35.99				Rosé
Henri Gallet	2023 Cote Rotie	60.99	France	Rhône
J. Despesse	2023 Cornas	61.99	France	Rhône	Cornas
Julien Barge	2021 Cote-Rotie "Les Côtes"	81.99	France	Rhône
Julien Barge	2023 Côte-Rôtie Cœur de Combard	138.99	France	Rhône
Jurgen Von Der Mark	2020 Blanc de Noirs "Cuvee #001"	36.99	France	Champagne
Louis Sozet	2016 Cornas	101.99	France	Rhône	Cornas
Michelle Luyton	2022 Hermitage Rouge	65.99	France	Rhône	Hermitage
Mickael Bourg	2022 Cornas "Les P'tits Bout"	71.99	France	Rhône	Cornas
Mickael Bourg	2023 Cornas "Les p'tits bout"	69.99	France	Rhône	Cornas
Patrick Jasmin	2022 Cote-Rotie "Giroflarie"	65.99	France	Rhône
Podere Ai	2020 Valloni Boca "Vigna Cristiana"	61.99	Italy	Piedmont
Vigneti Valle	2016 Roncati Ghemme "Leblanque"	45.99	Italy	Piedmont
Vini Chiussima	2022 Carema	59.99	Italy	Piedmont
Chateau Thivin	2023 Cote de Brouilly Cuvee Zaccharie	57.99	France	Beaujolais
Chavy Chouet	2023 St. Aubin 1er Cru "Les Murgers des Dents de Chien"	101.99			1er Cru
Clément Perseval	2013 "Les Tremblaies" Extra Brut 1er Cru	108.99			1er Cru
Clément Perseval	2016 "La Luth" 1er Cru Extra Brut	108.99			1er Cru Extra Brut
Diot Legras Les	2010 Mesnil Vieilles Vignes Grand Cru	93.99			Grand Cru
Domaine Des	2023 Remizières Hermitage Rouge "Cuvée Émilie"	98.99	France	Rhône	Remizières Hermitage Rouge
Domaine Des	2024 Remizières Hermitage Blanc "Cuvée Émilie"	84.99	France	Rhône	Remizières Hermitage Blanc
Domaine Du	2022 Tunnel Cornas	61.99	France	Rhône	Tunnel Cornas
Emmanuel Darnaud	2021 Crozes-Hermitage "Au Fil du Temps"	41.99	France	Rhône	Crozes-Hermitage
Jj Girard	2023 Pernand Vergelesses 1er Cru "Les Fichots"	43.99			1er Cru
Pierre Brisset	2023 Chambolle Premier Cru Musigny 1er Les Cras	146.99	France	Burgundy	Premier Cru Musigny 1er Les Cras
Pierre Brisset	2023 Chambolle-Musigny 1er Cru "Les Noirots"	171.99	France	Burgundy	1er Cru
Pierre Brisset	2023 Echezeaux Grand Cru	324.99	France	Burgundy	Grand Cru
Remi Poisot	2023 Romanee St. Vivant Grand Cru	474.99			Grand Cru
Sébastien Dampt	2023 1er Cru Côte de Léchet	41.99			1er Cru Côte de Léchet
Achim Durr	2020 Pinot Noir Von Keuper	47.99				Red	Pinot Noir
Achim Durr	2022 Pinot Noir "Tom"	44.99				Red	Pinot Noir
Adank	2024 Alte Reben Flasch Pinot Noir	71.99				Red	Pinot Noir
Andreas Laible	2023 Stollenberg Riesling Grosses Gewachs	43.99				White	Riesling
Dr. Wehreim	2022 Riesling Kastaninbusch GG	58.99				White	Riesling
Dr. Wehrheim	2023 Riesling Kastanienbusch GG	69.99				White	Riesling
Dr. Wehrheim	2023 Weissburgunder Mandelberg Grosses Gewachs	71.99				White	Pinot Blanc
Gunther Steinmetz	2016 Riesling Kestener Paulinshofberg GK	35.99				White	Riesling
Gunther Steinmetz	2020 Steinmetz Kestener Herrenberg Pinot Noir	31.99				Red	Pinot Noir
Gunther Steinmetz	2020 Steinmetz Muhlheimer Sonnenlay Pinot Noir***	36.99				Red	Pinot Noir
Gunther Steinmetz	2023 Detzemer Maximin Klosterlay Riesling	46.99				White	Riesling
Josef Walter	2020 Spätburgunder Centrgrafenberg "J" Hündsruck	68.99				Red	Pinot Noir
Joseph Walter	2011 Centgrafenberg Spätburgunder "J"	56.99				Red	Pinot Noir
Jurgen Von Der Mark	2023 Engertstein Pinot Noir	35.99				Red	Pinot Noir
Jurgen Von Der Mark	2023 Von der Mark Pinot Noir "Krieger des Lichts"	66.99				Red	Pinot Noir
K.H. Schneider	2023 Domberg Riesling Spatlese	26.99				White	Riesling
K.H. Schneider	2023 Königsfels Riesling GG	37.99				White	Riesling
K.H. Schneider	2023 Marbach Riesling Spatlese	26.99				White	Riesling
Laible Am	2023 Buhl Riesling GG	48.99				White	Riesling
Lauer	1984 Riesling Brut Grande Réserve	184.99				White	Riesling
Lauer	2016 Riesling Brut Nature Prestige	49.99				White	Riesling
Lauer	2022 Riesling Brut	29.99				White	Riesling
Marie Demets	2019 "La Foret" Extra Brut (100% Chardonnay)	87.99				White	Chardonnay
Marie Demets	2019 "Les Fins" Extra Brut (100% Chardonnay)	76.99				White	Chardonnay
Martin Muellen	2009 Krover Kirchlay Riesling Auslese	73.99				White	Riesling
Martin Mullen	2015 Riesling Trocken "Revival"	37.99				White	Riesling
Martin Müllen	2023 Riesling Kröver Paradies Spätlese Trocken ** "Alte Reben"	43.99				White	Riesling
Martin Woods	2022 Pinot Noir "Jessie James"	65.99				Red	Pinot Noir
Max Geitlinger	2022 Wein Merlot	37.99				Red	Merlot
Mohr Niggli	2023 Pinot Noir "Graf" Baselland-Schaft	73.99				Red	Pinot Noir
Motalli Renato	2020 Chiavennasca (Nebbiolo) Rosato	40.99				Red	Nebbiolo
Patrick Adank	2023 Chardonnay "Am Berg"	191.99				White	Chardonnay
Patrick Adank	2023 Pinot Noir Herrenacker	191.99				Red	Pinot Noir
Patrick Adank	2024 Pinot Blanc Graubunden	66.99				White	Pinot Blanc
Paul Weltner	2013 Rödelseer Küchenmeister Riesling Erste Lage	39.99				White	Riesling
Paul Weltner	2023 Hoheleite Riesling Grosses Gewachs	63.99				White	Riesling
Pircher	2022 Pinot Noir Stadtberg 4-pack	199.96				Red	Pinot Noir
Prinz Jungfer	2023 GG Riesling	53.99				White	Riesling
Prinz Schönhell	2023 GG Riesling	47.99				White	Riesling
Richard Oestreicher	2017 Cabernet Sauvignon "R"	46.99				Red	Cabernet Sauvignon
Richard Ostreicher	2017 Cabernet Sauvignon "R"	53.99				Red	Cabernet Sauvignon
Richard Ostreicher	2022 Chardonnay Rossbach	82.99				White	Chardonnay
Sarl Garaudet Pere & Fils	2023 Bourgogne Aligoté Vieilles Vignes	36.99	France	Burgundy
Spater Veit	2015 Pinot Noir Reserve	37.99				Red	Pinot Noir
Spater Veit	2020 Pinot Noir "Privat"	74.99				Red	Pinot Noir
Spreccher Von Bernegg	2023 Pinot Noir Von Pfaffen/Calander	63.99				Red	Pinot Noir
Sprecher Von	2024 Bernegg Pinot Noir "Lindenwingert"	51.99				Red	Pinot Noir
Sven Enderle	2022 Pinot Noir	33.99				Red	Pinot Noir
