Name,producer_guess,Vintage,Format,Category,Price,price_usd,Region/Notes
Domaine Georges Vernay - Le Pied de Samson Viognier,Domaine Georges Vernay,2015,750ml,White Wine,$34.19,34.19,Viognier
Domaine Du Nozay - Sancerre,Domaine Du Nozay,2023,750ml,White Wine,$36.99,36.99,Sancerre
Chateau des Laurets - Puisseguin Saint Emilion,Chateau des Laurets,2015,750ml,Red Wine,$33.29,33.29,Bordeaux (JS: 91)
Domaine de la Jobeline - Mâcon-Villages,Domaine de la Jobeline,2019,750ml,White Wine,$33.29,33.29,Burgundy (Chardonnay)
Château Prieuré-Lichine - Margaux,Château Prieuré-Lichine,2019,375ml,Red Wine,$32.39,32.39,"Margaux (JS: 95, WE: 96)"
Edmond Cornu & Fils - Les Barrigards Bourgogne,Edmond Cornu & Fils,2023,750ml,Red Wine,$32.39,32.39,Burgundy (Pinot Noir)
Chêne Bleu - Rose,Chêne Bleu,2022,750ml,Rose Wine,$35.99,35.99,"WS: 92, V: 91"
Domaine Reverdy-Ducroux - Sancerre Les Vignes Silex,Domaine Reverdy-Ducroux,2022,750ml,White Wine,$32.39,32.39,Sancerre (Sauvignon Blanc)
Chêne Bleu - Rose,Chêne Bleu,NV,750ml,Rose Wine,$35.99,35.99,Rosé
Moët & Chandon - Brut Champagne Impérial,Moët & Chandon,NV,375ml,Sparkling Wine,$32.39,32.39,Champagne
Domaine De Panquelaine - Sancerre,Domaine De Panquelaine,2024,750ml,White Wine,$32.39,32.39,Burgundy (Sauvignon Blanc)
Chateau Montlandrie - Castillon Cotes de Bordeaux,Chateau Montlandrie,2010,750ml,Red Wine,$32.39,32.39,Bordeaux Blend
Chataeu Suduiraut - Lions De Suduiraut Sauternes,Chataeu Suduiraut,2016,750ml,White Wine,$32.39,32.39,Sauternes
Jean Foillard - Beaujolais Villages,Jean Foillard,NV,750ml,Red Wine,$32.39,32.39,Burgundy (Gamay)
Gosset - Grande Réserve Brut Champagne,Gosset,NV,375ml,Sparkling Wine,$31.49,31.49,Champagne (WA: 92)
Château de Merande - Arbin Mondeuse,Château de Merande,2019,750ml,Red Wine,$31.49,31.49,Mondeuse
